wl,k
0.017586,0.0961
0.017712,0.1110
0.017839,0.0869
0.017969,0.0814
0.018100,0.0919
0.018233,0.0998
0.018368,0.1081
0.018505,0.1063
0.018644,0.0948
0.018785,0.0948
0.018929,0.0944
0.019074,0.0932
0.019222,0.0917
0.019373,0.0911
0.019525,0.0965
0.019680,0.1036
0.019837,0.1111
0.019997,0.1119
0.020160,0.1194
0.020325,0.1260
0.020493,0.1368
0.020664,0.1482
0.020838,0.1475
0.021014,0.1562
0.021194,0.1735
0.021377,0.1897
0.021562,0.1920
0.021752,0.1905
0.021944,0.2213
0.022140,0.2650
0.022339,0.2619
0.022543,0.2277
0.022749,0.2409
0.022960,0.2584
0.023175,0.2652
0.023393,0.2491
0.023616,0.1947
0.023843,0.1861
0.024075,0.1829
0.024311,0.1889
0.024551,0.1762
0.024797,0.1865
0.025047,0.1867
0.025303,0.1880
0.025564,0.1849
0.025830,0.2091
0.026102,0.2370
0.026380,0.2410
0.026663,0.2586
0.026953,0.2691
0.027249,0.3033
0.027552,0.3258
0.027862,0.3366
0.028178,0.3592
0.028502,0.3486
0.028834,0.3760
0.029173,0.3894
0.029520,0.3757
0.029876,0.3884
0.030240,0.3795
0.030613,0.3474
0.030996,0.3631
0.031388,0.3790
0.031791,0.3931
0.032204,0.4048
0.032627,0.4088
0.033062,0.4719
0.033509,0.4750
0.033968,0.4842
0.034440,0.4717
0.034925,0.4859
0.035424,0.4611
0.035937,0.4711
0.036466,0.4673
0.037010,0.5177
0.037571,0.5086
0.038149,0.4926
0.038745,0.5295
0.039360,0.5630
0.039995,0.6155
0.040651,0.7198
0.041328,0.7906
0.042029,0.7966
0.042753,0.7559
0.043503,0.7817
0.044280,0.7512
0.045085,0.6137
0.045920,0.5375
0.046786,0.5472
0.047686,0.6128
0.048621,0.5927
0.049594,0.6236
0.050606,0.6473
0.051660,0.6481
0.052759,0.7281
0.053906,0.8378
0.055104,0.9181
0.056356,1.0021
0.057667,1.1040
0.059040,1.1747
0.060480,1.1164
0.061992,1.0529
0.063582,1.1068
0.065255,0.9692
0.067018,0.8980
0.068880,0.6949
0.070848,0.7069
0.072932,0.7233
0.075142,0.7654
0.077490,0.7975
0.079990,0.8014
0.082656,0.8327
0.085506,0.8759
0.088560,0.9217
0.091840,0.9652
0.095372,0.9713
0.099187,0.9032
0.103320,0.9748
0.107812,0.9054
0.112713,0.9496
0.118080,1.0032
0.123984,1.1193
0.130510,1.2671
0.137760,1.3717
0.145864,1.4001
0.154980,1.4788
0.165312,1.4818
0.177120,1.4714
0.190745,1.3582
0.206640,1.2678
0.225426,1.4021
0.247968,1.4740
0.261019,1.5521
0.275520,1.6873
0.291728,1.8399
0.309960,1.9514
0.330625,2.0094
0.354241,2.0676
0.381490,2.0938
0.413281,2.1072
0.450852,2.1932
0.495937,2.2562
0.551041,2.3358
0.619921,2.7124
0.708481,3.6965
0.826561,4.8406
0.991874,6.2609
1.239842,8.2091
1.653123,11.2635
2.479684,17.1066
