wl,n
0.017586,0.8223
0.017712,0.8380
0.017839,0.8512
0.017969,0.8358
0.018100,0.8273
0.018233,0.8270
0.018368,0.8323
0.018505,0.8463
0.018644,0.8390
0.018785,0.8337
0.018929,0.8312
0.019074,0.8262
0.019222,0.8237
0.019373,0.8126
0.019525,0.8033
0.019680,0.7967
0.019837,0.7965
0.019997,0.7909
0.020160,0.7831
0.020325,0.7777
0.020493,0.7712
0.020664,0.7726
0.020838,0.7731
0.021014,0.7618
0.021194,0.7551
0.021377,0.7642
0.021562,0.7706
0.021752,0.7611
0.021944,0.7409
0.022140,0.7624
0.022339,0.8418
0.022543,0.8148
0.022749,0.8094
0.022960,0.8166
0.023175,0.8410
0.023393,0.8730
0.023616,0.8910
0.023843,0.8571
0.024075,0.8339
0.024311,0.8287
0.024551,0.8143
0.024797,0.8017
0.025047,0.7980
0.025303,0.7819
0.025564,0.7624
0.025830,0.7292
0.026102,0.7363
0.026380,0.7301
0.026663,0.7327
0.026953,0.7172
0.027249,0.7071
0.027552,0.7212
0.027862,0.7309
0.028178,0.7544
0.028502,0.7500
0.028834,0.7446
0.029173,0.7821
0.029520,0.7786
0.029876,0.7955
0.030240,0.8037
0.030613,0.8017
0.030996,0.7752
0.031388,0.7666
0.031791,0.7593
0.032204,0.7732
0.032627,0.7424
0.033062,0.7501
0.033509,0.7789
0.033968,0.7940
0.034440,0.8078
0.034925,0.8149
0.035424,0.8165
0.035937,0.8056
0.036466,0.7908
0.037010,0.7727
0.037571,0.8140
0.038149,0.7744
0.038745,0.7479
0.039360,0.7273
0.039995,0.7027
0.040651,0.7044
0.041328,0.8000
0.042029,0.9076
0.042753,0.9499
0.043503,0.9869
0.044280,1.0744
0.045085,1.1276
0.045920,1.0353
0.046786,0.9431
0.047686,0.9474
0.048621,0.9145
0.049594,0.8859
0.050606,0.8899
0.051660,0.8432
0.052759,0.7630
0.053906,0.7955
0.055104,0.8240
0.056356,0.8433
0.057667,0.9438
0.059040,1.0649
0.060480,1.2052
0.061992,1.2323
0.063582,1.4659
0.065255,1.4708
0.067018,1.4627
0.068880,1.4254
0.070848,1.3284
0.072932,1.2830
0.075142,1.2509
0.077490,1.2621
0.079990,1.2491
0.082656,1.2310
0.085506,1.2313
0.088560,1.2488
0.091840,1.2847
0.095372,1.3709
0.099187,1.3386
0.103320,1.3484
0.107812,1.3586
0.112713,1.2695
0.118080,1.2619
0.123984,1.2128
0.130510,1.2493
0.137760,1.3618
0.145864,1.4688
0.154980,1.5039
0.165312,1.7486
0.177120,1.7430
0.190745,1.9331
0.206640,1.7290
0.225426,1.6718
0.247968,1.6676
0.261019,1.5997
0.275520,1.5792
0.291728,1.6115
0.309960,1.7126
0.330625,1.7826
0.354241,1.8444
0.381490,1.8920
0.413281,1.8570
0.450852,1.7933
0.495937,1.6936
0.551041,1.4173
0.619921,0.8199
0.708481,0.4391
0.826561,0.3347
0.991874,0.3476
1.239842,0.4827
1.653123,0.8101
2.479684,1.7518
